,body
10,"  ,   our reference: i00211120211001 sir, i have received your request of September 12, 2012. you are inquiring about a company-4913.net-peter issued on September 12, 2012 from your checking account: 12sep2012 company-4913.net- peter emis zcar 00111 company-4913.net-peter initial cars to 00211 02110012202 10,00- after research with the ines-marthe concerned, the latter informs me that it is a company-4913.net-peter in favor of your account on passbook no. 02110012202: 12sep2012 company-4913.net-peter received zcar 00111 company-4913.net-peter initial cars of 00220 02200011222 +10,00 this operation corresponds to the minimum payment made for the opening of your account on booklet September 12, 2012. Please accept, sir, the expression of nelson-marcos distinguished consideration. ines-marthe clients bank france ----- original message ----- from: cichorius-scheibe na: ines-marthe clients - administrative management / bank france date: 12/02/2012 12:20:00 topic: mes Hello operations, I have a company-4913.net-peter made 10 euros, I do not recognize this company-4913.net-peter the reference of the company-4913.net-peter is &#39;&#39; zcar &#39;&#39; thank you for coming back to me as soon as possible from nelson-marcos mobile bank. "
11," hello Ms. cyganik, bank does not offer insurance coverage for this type of trip. cordially. mle jose company-4387.net-jantsch ----- original message ----- from: cyganik na: ines-marthe customers - verena and information / bank france date: 12/10/2012 11:21:22 subject : information products madam, sir, i would like to contact you because i am going to canada from october 12 to 11, 2012. i wanted to know serna-henriques-almeida bank offers coverage / insurance for this type of trip. In advance, thank you for your answer. Yours sincerely, n cyganik sent from czerniec-marty-lopez mobile bank. "
12," hello, madam penelope-olivie, unfortunately we have no more availabilities on this date, with your counselor. we invite you to position your appointment from your space, by following the domiciles-leite &quot;contact my advisor&quot; / &quot;make an appointment&quot; located on your online bank (pszczolka in the cichorius-scheibe of your mobile application) . you will be able to fix it immediately, by selecting the available saddle-thibault that suits you best. cordially ines-marthe clients bank france ----- original message ----- from: penelope-olivie na: ines-marthe customers - auger-lefevre / bank france date: thorpe 11:11:10 subject: prize de go hello our moura-stojak-paniagua is sick since this morning, she has a fever. we made an appointment tomorrow morning with the pediatrician. he had no room before. we will not be able to be here tomorrow for our meeting. Do you have any available wkd of September 22 in the morning? thank you in advance and again déo&#39;brien-isabelle-marianneé sent from nelson-marcos mobile bank. "
13," Hello Mrs. penelope-olivie, thank you for your message and I confirm your appointment of Saturday, September 22 at 11:00. Sincerely ----- original message ----- from: penelope-olivie na: ines-marthe customers - auger-lefevre / bank france date: 12/02/2012 11:11:11 subject: making appointments hello following your message we are available on Saturday 22 to 11h for an appointment. Is it still palmer-booth-minguez on your side? thank you in advance sent from nelson-marcos mobile bank. "
14," hello madam pujadas, we inform you that only you can register beneficiaries on your secure access. serna-henriques-almeida transfers are urgent we invite you to forward them to your agency for execution. To order a new vienna online, we invite you to click on the profile tab in chapman-marvin on the right when you are on the summary of your accounts, then on security settings and on / off. disabling your current vienna is required to order a new one. when your current vienna is disabled, log out and log in again by the lindsey bank secure key mode (username, answer to your question and 1 password character you created when customizing your access) during the period where you do not have a vienna, you will log in by this mode lindsey bank secure key. Please accept, Madam, the expression of our sincere greetings. ines-marthe customers bank france ----- original message ----- from: pujadas na: ines-marthe customers - verena and information / bank france date: 01/02/2012 11:11:22 subject: verena secure key, nelson-marcos online banking, nelson-marcos mobile banking hello, i lost my doring-harloffîtier secure key so i can not add beneficiaries myself from my account. however, I have 1 rib to add in beneficiaries. schleich-hethur can I proceed? thank you in advance, cordially, n pujadas the envoy from nelson-marcos mobile bank. "
15," Hello ma&#39;am, we acknowledge receipt of your message. we confirm you that serna-henriques-almeida you are first customer abroad, you are also in France. can you please ask your hk first advisor to confirm us by email your first status. thanking you in advance, cordially, ----- original message ----- of: minguez sa: kabus-mosemann-company-4387.net-jantsch / bank france date: 11/02/2012 21:10: 21 subject: my accounts hello, I am writing to you after receiving your mail regarding my bank prime status. being the client base bank first carl hernandez (meeting the condition of eligibility), I understood when opening accounts with the echeverria-guerrero bank that the conditions of eligibility were to be respected at the level moore-jones -micael and not witos. nelson-marcos understanding is it wrong? following your return, I will then make the arrangements accordingly. thank you in advance for your clarification. cordially minguez sent by mobile banking. "
16," hello madam zeno-lemaitre-guillon, I leave you at thomas-olivier this day the overdraft authorized of 1000 ?. thank you to sign it as soon as possible so that we can put it in place. good to you, ----- original message ----- of: zeno-lemaitre-guillon 10 a: ines-marthe customers - administrative management / bank france date: 22/02/2012 12:12:12 subject: other dear madam, i made opposition this day following the fraudulent use of nelson-marcos bank card. ines-marthe auger-joly then informed me that I had to make sure that the account was well credited amounts owed and that I had no overdraft authorized. Can I ask you to look at why this is the case? indeed having a convention it seems to me that I benefit from cash facilities. I&#39;m in Felizitas in Spain this week but I can be reached on my cell phone. thank you for your help best regards 10 zeno-lemaitre-guillon sent from nelson-marcos mobile bank. "
17," hello I max to leave you a voice message. can you tell me by romano your exact request please? - hughes-walker main residence? - amount of the project? - your current loans? - your contribution? etc. thanks to you barriga-adem-elise ----- original message ----- from: rohleder-geissler-poole-harris 10 a: p / bank france agency date: thorpe 02:11:12 topic: others hello , thank you kindly contact me, for information on a real estate project (move). I am retired (bank). I have already made this request by phone, but Lindsey result. best regards, cordially, towarek rohleder-geissler-poole-harris 02.12.12.22.01 pszczolka 02.21.12.22.22 "
18," hello ma&#39;am, we are confirming the setting of your credit card and a new card laurence-patterson-rohleder -geissler-howarth been ordered with a new secret code. Regarding the checkbook we thank you for making your request as follows. request for opposition checkbook on the account no ......... of the check number ........ to the number .......... (or indicate until at the end of the checkbook) for motive .......... cordially ----- original message ----- from: meagan 10 laurence-patterson-rohleder-geissler-howarth: ines-marthe clients - administrative management / bank france date: 12/02/2012 02:11:12 topic: others hello following a flight I would like to put in opposition the blue card visa and a checker "
19," hello ma&#39;am, the card has your name was canceled as requested at the time. knowing that your accounts are being transferred, it will be your new agency that will respond to your requests. cordially ----- original message ----- from: paul 10 to: moreau-raymond can / bank france date: thorpe 12:21:21 subject: my cards hello, a few weeks ago, nelson-marcos map was swallowed by a bank cabin in Toulon. as i received the new access code, i tried it but it did not work and nelson-marcos card was kept by the bank. please let me know serna-henriques-almeida the card has been canceled because I do not see it in my application bank france (my cards). cordially, heinz-jurgen-keller sent by mobile banking. "
20," dear madam, by your secure message of 10/02/2012, you express your dissatisfaction with the lack of receipt of the SMS required to validate your hughes-walker made by credit card on the internet. I regret the inconvenience this has caused. the sources of this occasional malfunction can be multiple: the phone number you use does not correspond to the one registered in our systems, a cutoff of the telephone network of your mobile operator took place, a cut of the network intervened on the platforms used by banking institutions for sending sms, etc.? in this case the telephone number 0021202222121 that you use? to date - corresponds to the one registered in our systems. after research with the ines-marthe concerned, the latter confirms that the SMS are sent to your mobile phone. Also, while waiting for the restoration of your connection, I inform you that it is possible for you to enter remy-girard-chambers-isern-sandro with our laurence-agnes relations faria-moura in order to temporarily unblock the situation . to do this, all you need to do is harvey-murphy your username and your 2-digit access code. in this case you have two options, either ask to be able to authenticate with your date of birth, but this is limited in time. pszczolka either indicate a landline number to receive the code 1d secure. to join the laurence-agnes of auger-lefevre, serna-henriques-almeida you are in france we invite you to dial 0210 11 11 11 and serna-henriques-almeida you are abroad you must dial 00 11 1 22 12. I would like to assure you of the constant will of our teams to continue to earn your trust and express the wish of maintaining your confidence in our institution. Kind regards, bank france ines-marthe customers ----- original message ----- from: paul 10 a: ines-marthe customers - administrative management / bank france date: 10/02/2012 02:01:01 subject : complaint hello, i have tried to make a purchase with my card bank. There was a security check and the laurent-michel informed me that a sms was sent to my phone number for the verification code. however, i did not receive anything. i was waiting for a few days ago but there was no sms. i have checked my phone number for my account and it was ok. could simona-pinheiro please check again what is the problem? fyi, my phone no: +21 202222 121 thanks a lot teofil regards heinz-jurgen-keller sent by mobile banking. "
21," hello madam, serna-henriques-almeida we understand you wish to make a dispute about a transaction made with your Bank card. you can indeed wait to be back for that. a form is available on your online bank under the tabs &quot;my information&quot; then &quot;my forms&quot;. cordially palmer-gual-yasmin-goncalo lara-iris ----- original message ----- of: lepka-minguez 10 a: agency p / bank france date: 21/02/2012 02:21:20 subject : my cards pb rental car refund deductible due to payment by cb first. backdomile says July 2nd and then I wait to send the documents. thank you for calling me. cordially "
22," Hello ma&#39;am, we are doing what we need today. cordially carminho-martim karz-adolph ----- original message ----- from: frederic-matthaus 10 to: noack / bank france date: 22/01/2012 costantini-camus-levy: 10: 10 subject: my hello accounts, I want to change the ceiling of my personal credit card; currently in ii-klingelhofer? I wish to pass it to 2000? from now until 11/10/10. thank you. company-6898.net sent from my mobile bank. "
23," Hello ma&#39;am, at the end of the line indicating the balance of your pel you have a adan with 1 small dots that indicate the possibility of having more detail on the product, serna-henriques-almeida you click in this adan and on the choice &quot;details&quot;, you will have the answers to your questions. cordially palmer-gual-yasmin-goncalo lara-iris ----- original message ----- of: lepka-minguez 10 a: agency p / bank france date: 21/01/2012 02:21:12 subject : my accounts hello, thank you for telling me why in the new version we no longer see the expiry date of the pel or the total interest earned we do not know at once serna-henriques-almeida the amount indicated takes into account pszczolka no . according to nelson-marcos ribeiro-azevedo the auger-joly offer improves a product and we do not just cosmetics as it is the case. cordially "
24," ref: i00121120210002 madam, i follow your request of costantini-camus-levy september 2012, you want to get explanations about the perception of a subscriptions fact of an amount of 11,20? charged to your account no. 01210021221 dated September 10th, 2012. these fees correspond to the monthly subscription of your bank contract pro visa agreement with a cemal visa card in the amount of 11.20? monthly and VAT at 1.20 ?. Bank France&#39;s pricing conditions are available at the thomas-olivier agencies and posted on the bank.fr website. your noack advisor remains at your disposal to provide you with all the details on this subject. I hope that these details will meet your expectations. kind regards ines-marthe clients bank france ----- original message ----- from: frederic-matthaus 10 a: ines-marthe customers - administrative management / bank france date: costantini-camus-levy / 10/2012 10 : 22: 10 subject: my operations hello, on my pro account appear 2 samples at 10/10/10. one of 11.20 and another of 1.20. it looks like it&#39;s a subscription and I have not subscribed to it and it does not say what it&#39;s all about. Can you give some information ? i would like to know serna-henriques-almeida i was hacked mauro serna-henriques-almeida i myself made a mistake. Sincerely sent from my mobile bank. "
25," Dear Madam, to respond to your challenge received on 21/02/2012 and to complete our analysis. Please find attached the completed return form for each transaction (the date and amount of the last payment transaction initiated by you, as well as the detailed circumstances of the loss / theft of your card). this document is to be sent as an attachment, in response to this secure message, at the latest thorpe, using the function &quot;reply&quot; on &quot;nelson-marcos bank online&quot;. attention: serna-henriques-almeida this date was to be exceeded, your file would then be obsolete. for any question or request for additional information on this file, we invite you to use this same channel. Best regards. bank france ines-marthe customers. ----- original message ----- of: meagan 10 laurence-patterson-rohleder-geissler-howarth: ines-marthe customers - administrative management / bank france date: 21/02/2012 22:12:20 topic: protest debit card credit card hello! I oppose nelson-marcos bank card stolen August 12, 2012 at 2hr 20 the person I got at the phone assured me to have made opposition on nelson-marcos card gold card transactions are debited. I do not understand why thank you to take into account my message "
26," dear m. luca-villalobos-nolan, i&#39;m sorry but it&#39;s not possible with this card. if carvalho-pinheiro need the money to your gilles-lucas and we gargallo-montana give carvalho-pinheiro the money carvalho-pinheiro need. sincerly ----- original message ----- of: luca-villalobos-nolan 10 a: pedro-iara-radel emilia-lia / bank france date: thorpe 10:22:22 topic: request increase ceiling map dear jauregui , i need to increase my cash withdrawn limit to ii-klingelhofer eur as i am tracking of this week and need to have cash with me. Hello, regarding your request, unfortunately this is not possible at the moment, according to the bank policy. however, you wanted this increase, compared to the transfer of your personal contribution for your acquisition. know that our services have sent you with the offers a mandate we traugott power of attorney to be able to transfer your personal contribution from your account, to the notary at the same time as the credit. it is important that you return this document also to wolfe, as well as the count, the rib of the notary and the confirmation of the appointment serna-henriques-almeida it is not already done. it is therefore important that your contribution funds are present on the future loan withdrawal account. cordially palmer-gual-wojtalik-goncalo de julie director agency montrouge ----- original message ----- from: parker-hartley 10 to: chlipala / bank france date: 22/02/2012 11: rodrigues-camus- levy: 22 subject: request increase ceilings transfers online hello, I need - maximum amount of daily ceiling requested: 12000 euros - ad hoc or permanent request: punctual - detail of the reason for the request (subject of the transfers): for the transfer of a contribution of an acquisition "
27," hello, there is an incident declared on this subject, we do not have more information for the moment. cordially almazan-goran cole-mills map - 00022 ----- original message ----- from: lepka-minguez 10 a: agency p / bank france date: 02/01/2012 20:10:20 subject: verena secure key, nelson-marcos online banking, nelson-marcos mobile bank hello, when i log on nelson-marcos bank online on my phone the link to expand the line of my life insurance contract does not work while on my pc by connecting me by generating an ode &#39;for single use on my phone it works. thank you for telling me what to do to make it work again on my mobile. I have domka the new presentation of accounts which is not for me better far from it. Sincerely "
28," Hello ma&#39;am, following your request, please find attached your last 1 statements. Please accept, Madam, the expression of our distinguished feelings. costantini-sarah commercial attaché | bank france bank, 22 rue partouneaux, 02200 chin, france agency closed on monday ______________________________________________ phone int: 2 222 11 01 ext: 0011 (0) 1 22 11 11 01 fax 0011 (0) 1 21 12 12 11 romano costantini-sarah @ bank.net website http://www.bank.net laurence-agnes auger-lefevre 0210 21 22 10 (ines-marthe 0.02? / call + price call) ______________________________________________ ----- original message ----- : assuncao-kruschwitz-drewes-guillon dr: ines-marthe customers - administrative management / bank france date: 10/01/2012 20:12:11 topic: others hello, currently living abroad and having access only to my application bank via phone I allow myself to contact you because I need my last three bankers. (urgent request) would you be able to send them to me by e-mail? I can not access my mail in France. I thank you in advance. in anticipation of your reply, cordially maïgreenwood-nayade sent by mobile banking. "
29," carrasco-chaves, folloing your request and our phone conversaton, best regards, ----- original message ----- of: koniec dr: dargacz-kruszona fere / bank france date: 21/02/2012 11:01:12 topic: my cards my wife card is being rejected Where to buy? i can not see any way out of our bank online. wyskiel simona-barba clarify what is happening? the card ending on 2122. thanks "
30," hello, we acknowledge receipt of your message and we thank you. Regarding your current accounts, you must make a transfer to your bank account. current accounts do not transfer. regarding securities accounts, you can request their transfer from the bank holding them. thank you kindly return to me the attached form completed and signed accompanied by: - your request for transfer signed on free paper - the last statement of securities account remaining at your disposal, kabus-mosemann-company-4387.net-jantsch --- - original message ----- from: ianis dr to: kabus-mosemann-company-4387.net-jantsch / bank france date: 22/01/2012 02:01:12 subject: my accounts hello, I have in France a current account and account at general company and also a current account and title at bnp. I want to consolidate all my bank accounts. please tell me the procedure for the consolidation of my accounts at bank. Thank you, thank you, thank you to make the request by mail or via the courier by transferring to the administrative ines-marthe because wolfe has no visualization on your checks. this request will be charged 10? by matthai-fechner cordially, ----- original message ----- from: company-3989.net dr a: company-1023.net paris st f. hildegund-minguez-manuel-fabiana / bank france date: 21/02/2012 02:01:11 subject: my accounts hello, can you tell me who is the beneficiary of this check? 22/02/2012 22/02/2012 check 0120020 -12,20 thank you! "
31," Hello ma&#39;am, I confirm the increase of the ceilings of your card. Sincerely ----- original message ----- of: kolarczyk dr a: bank fr connect purple / bank france date: 12/02/2012 12:02:21 topic: request increase ceiling card hello, I must continue to use nelson-marcos classic card during a stay abroad that starts tomorrow and wishes to temporarily increase my withdrawal and payment limits for 1 weeks. can you notify me when this increase will be effective please? thank you in advance cordially "
32," madam, in order to order a new case, we invite you to: - connect to www.bank.net (http://www.bank.net and enter your 11-digit identifier. the connection mode &quot;without secure key&quot; - answer your memorable question and your password - schlosser-holzapfel-mareikeselect &quot;profile&quot; / &quot;schlosser-holzapfel-mareikeecurity parameters&quot;, at the top right of your space - click on &quot;activate / deactivate&quot; - if your mobile number is correct, click on &quot;continue&quot; - you will receive a code by sms, enter it in the adan provided for this purpose - validate the deactivation and then disconnect When you reconnect, you will be able to choose between the mobile application and your case again.In case of difficultieschlosser-holzapfel-mareike, do not hesitate to contact our laurence-agnes relations faria-moura on 0200 210 112 (ines -marthe free), choice 2. cordially, ines-marthe clients bank france ----- original message ----- from: singleton dr to: ines-marthe customers - verena and information / bank france date: 11/02 / 2012 22:11:12 subject: verena secure key, my online bank, my mobile bank the battery of my secure key is completely empty. I can not find a matthai-fechner on the website to order a new secure key. meric to send me a new secure key to my home as soon as possible. to confirm the reception of this message and the sending of new secure key, please use my address foremniak.singleton@gautier-rousset or call me on my cellphone because I will not have access to my accounts a once this session is over (because there is no battery in the secure key ...) "
33," carrasco-chaves, yes, simona-barba can myrcik tomorrow after 11am. we gargallo-montana crawford-anders-holt simona-barba. best regards, dinis-gabriel-ferrero coulier ----- original message ----- from: traugott li to: ines-marthe customers - auger-lefevre / bank france date: 22/01/2012 12:22:12 subject: appointment request carrasco-chaves, any possibility of an appointment tomorrow tuesday july 10 anytime after 11 with dinis-gabriel-ferrero or julian-canales who can crawford-anders-holt us completing documents requested by your bank? thank you simona-barba li traugott +1. 222 212-2002 sent by mobile banking. * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * best regards, bank groborz barbosa-moreira jauregui ----- original message ----- from: carlier li to: ines-marthe customers - auger-lefevre / bank france date: 22/02/2012 12:12:21 subject: appointment request carrasco-chaves, i&#39;m a worker from elal and i&#39;m with the bank since january, i understood that i do not need to pay the card fee for the wieloch-schenk year, and that i am paying it .. i asked to change my address and my phone number did not happen i would like to make an appointment with simona-barba to straighten things out .. possible because I can not do anything until I can do it simona-barba gargallo-montana change my phone and address number. thank you simona-barba "
34," dear mr carlier, your request has been forwarded to your relationship vasco-luana-guinea who gargallo-montana get atzler-kambs to simona-barba as soon as possible. best regards, bank groborz barbosa-moreira jauregui ----- original message ----- from: carlier li to: ines-marthe customers - auger-lefevre / bank france date: 22/02/2012 12:12:21 subject: appointment request carrasco-chaves, i&#39;m a worker from elal and i&#39;m with the bank since january, i understood that i do not need to pay the card fee for the wieloch-schenk year, and that i am paying it .. i asked to change my address and my phone number did not happen i would like to make an appointment with simona-barba to straighten things out .. possible because I can not do anything until I can do it simona-barba gargallo-montana change my phone and address number. thank you simona-barba "
35," dear mr traugott, we are sorry but we have just came across your message. we have forwarded your request to your relationship vasco-luana-guinea, carlos-sancho gargallo-montana campos-luciana-sandro simona-barba soon as possible about your query. for any further information, please campos-luciana-sandro your dedicated groborz laurence-agnes relations by vasco-frederico-santiago chat, or phone. at 0210 11 11 11 (ines-marthe:? 0.02 per call + price of a call) or 00 11 1 22 22 12 12 from abroad. best regards, groborz services? groborz relations bank france ----- original message ----- from: traugott li to: ines-marthe customers - auger-lefevre / bank france date: 22/01/2012 12:22:12 subject: appointment request carrasco julian-canales anyways after 11 with dinis-gabriel-ferrero julian-canales who can crawford-anders-holt us completing documents requested by your bank? thank you simona-barba li traugott +1. 222 212-2002 sent by mobile banking. "
36," Dear mr traugott, we are sorry but we just came across your message. we have forwarded your request to your relationship vasco-luana-guinea, carlos-sancho gargallo-montana campos-luciana-sandro simona-barba soon as possible about your query. for any further information, please campos-luciana-sandro your dedicated groborz laurence-agnes relations by vasco-frederico-santiago chat, or phone. at 0210 11 11 11 (ines-marthe:? 0.02 per call + price of a call) or 00 11 1 22 22 12 12 from abroad. best regards, groborz services? groborz relations bank france ----- original message ----- from: traugott li to: ines-marthe customers - auger-lefevre / bank france date: 22/01/2012 12:22:12 subject: appointment request carrasco julian-canales anyways after 11 with dinis-gabriel-ferrero julian-canales who can crawford-anders-holt us completing documents requested by your bank? thank you simona-barba li traugott +1. 222 212-2002 sent by mobile banking. "
37," Dear madam, we received your request for an increase in the limit on your payment card. we are not satisfied with your request for the following reason: the Geisler-Loos of your account does not comply with our standard. yours faithfully, ----- original message ----- from: Sajnog Li to: Mlynczyk-Madalena-Rita / Bank france date: 22/02/2012 12:22:02 topic: request increase ceiling card requesting to have temporary increase of the limit on my card and payments. i have Stranc one card with Bank. The reason for the request is some extra expenses in the past month. thank you Simona-Barba in advance. "
38," hello sir neto-isern-sandro, i can recommend mr carvajal-gil-vallejo-williamson-miah - deputy director of the batignolles branch - email address: carvajal-gil-vallejo williamson-miah@bank.net- coordinates tel: 0112221122 / 0222111112. he does not hesitate to solicit him, he is verychlosser-holzapfel-mareike recognized at bank for his professionalism. remaining at your disposal for any further information. Sincerely, trapp alexander ----- original message ----- from: neto-isern-sandro ai to: ines-marthe clients - administrative management / bank france date: 11/02/2012 02:20:21 subject : other hello, I have knowledge on paris who wants to open an account where to place 200k? at bank. can you give me the details of a reputable adviser on paris and tell me if there is any advantage for me regarding this recommendation? cordially em emo-isern-sandro "
39," hello ma&#39;am, your account being currently at -112,11 ?, that&#39;s why it still has not been fenced. in order for the closing to be effective, you must either make a transfer to it or deposit a check on it. we do not give proxy remotely. I remain of course at your disposal for any further information. Kind regards, grotek tiede commercial | bank france agency toulouse capitole 11 rue d&#39;alsace melita-hofig-heser 11000 toulouse ----- original message ----- from: barbosa-faria ai to: ines-marthe customers - administrative management / bank france date: 12 / 01/2012 12:10:11 subject: other madam, sir, i would like to close my account and i have sent all the required documents to this effect. however, I note that this is still not done. I am currently abroad for several months. is it possible to establish a power of attorney to definitively close this account? thank you in advance for your reply, have barbosa-faria "
40," hello, I max to contact our monetary ines-marthe. we have no payment requests for online purchases. do you have an error message that appears when you attempt to pay? can you tell me the date you tried to make these purchases and the amounts? have you done a test andreia since your message? cordially, pujadas lozano. ----- original message ----- of: sanna-szpara I have a: gertrude morante-gil / bank france date: 22/01/2012 02:12:01 topic: my cards hello, I do not anna make online payments from the ghenadie-whiteée du sud. I activated my new card by withdrawing 20 euros. but I do not annoy has made payments as amazon france or nintendo as with my old map since the ghenadie-whiteée of the south where I am currently. as you have no more representation in Seoul. should I perform a procedure? Sincerely, Hello, indeed, you have these two transactions revolted on your account; one to the debit, the other to the credit. the operation is therefore null. it schlosser-holzapfel-mareike&#39;agit of transactions done using your credit card. I remain at your disposal if necessary. Sincerely, cichorius-scheibe-puscasu moura-pearce ----- original message ----- from: mlynczyk ai to: ceynowa / bank france date: 02/01/2012 21:10:10 subject: my accounts carrasco - I have two transactions revolute the same day but I did one. it was a transfer of 200 ?. can you see what schlosser-holzapfel-mareike has gone? thank you sent from my mobile bank. "
41," hello sir fonseca-guerreiro, can you tell me your availability to arrange an appointment for signing documents? I remain at your disposal and wish you a pleasant day. best regards gute-jantsch zbiciak kosiec premium advisor | bank france pontoise agency 12 thiers street 22100 pontoise ___________________________ phone 0111222122 fax 0110112121 email. gute-jantsch.zbiciak.kosiec@bank.net absent one Wednesday out of two ----- original message ----- from: fonseca-guerreiro ai a: gute-jantsch zbiciak kosiec / bank france date: 01/02 / 2012 21:02:11 subject: my accounts hello, I would like to increase my overdraft of 200? to 1000 ?. thank you in advance for your return. best regards ai neto-andrade fonseca-guerreiro "
